time,open,high,low,close,VWAP,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA,Amplitude
2022-02-03T14:00:00-06:00,14591,14607,14569,14580,14728.148875256877,14589.476617935903,14605.976727489126,14675.363851546848,14640.8625,14718.41513938209,14563.309860617908,14757.191459073136,14524.533540926863,5986,4179.25,29.91259324132499
2022-02-03T14:05:00-06:00,14580.25,14601.5,14575.5,14582.75,14727.100982605269,14587.234411957268,14601.753686127466,14672.327331824,14635.7875,14714.593000283867,14556.981999716134,14753.9957504258,14517.5792495742,4253,4250.1,29.660167870916926
2022-02-03T14:10:00-06:00,14583.25,14607.25,14573.75,14600.5,14725.993667889248,14591.656274638179,14601.5257431952,14669.972337337967,14631.0875,14706.463602811897,14555.711397188103,14744.151654217845,14518.023345782154,4814,4271.9,29.90789897601906
2022-02-03T14:15:00-06:00,14599.75,14623,14599.25,14619.75,14725.003331371689,14601.020849758786,14604.839244432436,14668.325703326887,14628.8625,14702.80512556221,14554.919874437788,14739.776438343317,14517.948561656682,5169,4326.8,29.510615171114605
2022-02-03T14:20:00-06:00,14619,14640.75,14611.25,14612.5,14724.019776825855,14604.847233172524,14606.232109081084,14666.495352398137,14626.2375,14698.572221089562,14553.902778910437,14734.739581634343,14517.735418365655,5608,4474.7,29.509930321365275
2022-02-03T14:25:00-06:00,14613.25,14613.75,14587,14597.5,14723.166750249626,14602.398155448349,14604.644452884522,14664.233209696558,14622.475,14692.533350679238,14552.416649320763,14727.562526018857,14517.387473981144,4068,4539.05,29.33187030063203
2022-02-03T14:30:00-06:00,14596.75,14598.5,14545.75,14546,14721.377982296886,14583.598770298899,14593.981825087336,14660.356711017983,14616.75,14691.966853165017,14541.533146834983,14729.575279747525,14503.924720252475,6729,4711.5,30.842717378010608
2022-02-03T14:35:00-06:00,14545.75,14565.25,14527.5,14547.25,14718.942692711169,14571.4825135326,14585.48512961691,14656.648294263296,14611.175,14689.574633290324,14532.775366709675,14728.774449935485,14493.575550064514,8495,5004.5,31.28834851491315
2022-02-03T14:40:00-06:00,14547,14569.75,14539.25,14551.25,14717.319382297826,14564.738342355065,14579.260560595654,14653.192612484172,14604.5,14679.358700229484,14529.641299770516,14716.788050344225,14492.211949655775,6036,5084.95,31.237487320402625
2022-02-03T14:45:00-06:00,14550.5,14550.5,14515,14521.75,14714.904086872606,14550.408894903378,14568.804095032809,14648.883018632232,14596.925,14673.072898855951,14520.777101144047,14711.146848283928,14482.70315171607,8000,5345.3,31.512488138441164
2022-02-03T14:50:00-06:00,14522.75,14523.25,14456.25,14475.75,14709.818105548497,14525.522596602252,14551.885168663208,14643.20652621806,14588.075,14676.384696522198,14499.765303477803,14720.539544783298,14455.610455216703,14110,5846.4,33.80200503273528
