time,open,high,low,close,VWAP,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA,Amplitude
2022-02-03T21:15:00-06:00,14768,14770.5,14766.75,14770.25,14752.301887074142,14765.077315546361,14760.815151448594,14749.387544973664,14752.8375,14770.159649840873,14735.515350159127,14778.82072476131,14726.85427523869,117,74.15,4.27517612730254
2022-02-03T21:16:00-06:00,14769.5,14769.5,14765.75,14766.5,14752.32728478598,14765.551543697575,14761.848760276123,14749.948609072888,14753.75,14771.911773041855,14735.588226958145,14780.992659562782,14726.507340437218,57,76.2,4.2412937965088275
2022-02-03T21:17:00-06:00,14765.25,14766.5,14763.5,14763.75,14752.348801340993,14764.951029131716,14762.19444022592,14750.40111369345,14754.6,14772.96191711033,14736.238082889671,14782.142875665495,14727.057124334506,59,78.6,4.161210325766323
2022-02-03T21:18:00-06:00,14764.5,14764.5,14761.75,14762.25,14752.364376900301,14764.05068608781,14762.204542003024,14750.789601769075,14755.5375,14773.445790676853,14737.629209323148,14782.399936015277,14728.675063984723,50,76.7,4.070164498297528
2022-02-03T21:19:00-06:00,14761.5,14764.25,14761.5,14764,14752.377298671498,14764.033790725207,14762.530988911565,14751.222729579924,14756.5875,14773.884374720876,14739.290625279124,14782.532812081314,14730.642187918686,40,77,3.9849925951815584
2022-02-03T21:20:00-06:00,14763,14764.25,14761.5,14762,14752.387586097855,14763.35586048347,14762.434445473098,14751.57608270845,14757.45,14774.004153552589,14740.895846447413,14782.281230328881,14732.61876967112,34,77.2,3.9053156535569418
2022-02-03T21:21:00-06:00,14762.5,14766.75,14762.5,14763.25,14752.420667533852,14763.320573655647,14762.582728114354,14751.95883409506,14758.4625,14773.78917201366,14743.13582798634,14781.45250802049,14735.47249197951,95,79.25,3.9275533533274616
2022-02-03T21:22:00-06:00,14764.5,14765.25,14764.5,14765,14752.425837273446,14763.880382437097,14763.022232093563,14752.386413305057,14759.6625,14772.955613817561,14746.36938618244,14779.60217072634,14739.72282927366,14,74.6,3.722549911177303
2022-02-03T21:23:00-06:00,14765.25,14765.75,14764.75,14765,14752.432986798194,14764.253588291398,14763.38182625837,14752.799973524563,14760.775,14771.740742111777,14749.809257888222,14777.223613167664,14744.326386832336,19,73.5,3.5469015298110254
2022-02-03T21:24:00-06:00,14765,14766,14762.75,14763,14752.444845203676,14763.835725527599,14763.312403302303,14753.134400622119,14761.5375,14770.756061435646,14752.318938564355,14775.36534215347,14747.709657846532,35,70.65,3.5277465924038625
2022-02-03T21:25:00-06:00,14763.5,14763.75,14757.25,14757.5,14752.476962123215,14761.7238170184,14762.255602701884,14753.277535027952,14761.7875,14770.252538394143,14753.322461605858,14774.485057591213,14749.089942408787,155,69.7,3.7195048767649035
